"Day","Date","Wave","CS","Mission","Brief","TO","Land","FCP","FCP lvl","RCP","RCP lvl","Area","Area time","Rmks","Stores"
"Wednesday","Jul 15","WAVE 1","RU","ACM","08:15","10:35","12:00","Torch","C","Cutter","C","EAST","1035-1200","RED AIR","2 TKS"
"Wednesday","Jul 15","WAVE 1","RU","ACM","08:15","10:35","12:00","Kraken","D","Otter","D","SOUTH","1035-1200","2A: ACM-8","2 TKS"
"Wednesday","Jul 15","WAVE 2","VL","BFM","10:40","13:00","14:25","Trident","IP","Relay","IW","NORTH+EAST","1300-1425","1B: BFM-4 // TIGHT TURN","2 TKS"
"Wednesday","Jul 15","WAVE 2","VL","BFM","10:40","13:00","14:25","Bolt","C","Wisp","C","SOUTH","1300-1425","2A: BFM ADD","2 TKS"
"Wednesday","Jul 15","WAVE 2","RU","BFM","10:40","13:00","14:25","Zenith","C","Fable","C","NORTH+EAST","1300-1425","PRI LSR","2 TKS"
"Wednesday","Jul 15","WAVE 2","RU","BFM","10:40","13:00","14:25","Nomad","C","Pixel","D","SOUTH","1300-1425","2A: BFM-8","2 TKS"
"Thursday","Jul 16","WAVE 1","VL","SAT","10:25","12:45","14:10","Blade","IP","Basher","IW","WEST","1245-1410","1B: SAT-REF","TPOD 2 TKS"
"Thursday","Jul 16","WAVE 1","VL","SAT","10:25","12:45","14:10","Saint","B","Scope","IW","SOUTH","1245-1410","2A: SAT-2","2 TKS"
"Thursday","Jul 16","WAVE 1","RU","AD","10:25","12:45","14:10","Ace","A","Static","IW","WEST","1245-1410","DS FOR VL","2 TKS"
"Thursday","Jul 16","WAVE 1","RU","AD","10:25","12:45","14:10","Wildcard","OCU","Pixel","D","SOUTH","1245-1410","2A: AD-1 / CX M1",""
"Thursday","Jul 16","WAVE 2","VL","BFM","14:25","16:45","18:10","Warden","IP","Echo","IW","WEST","1645-1810","1A: D-N CURRENCY","2 TKS NAV"
"Thursday","Jul 16","WAVE 2","VL","BFM","14:25","16:45","18:10","Torch","C","Quill","IW","SOUTH","1645-1810","2A: BFM-ADD","2 TKS NAV"
"Thursday","Jul 16","WAVE 2","RU","BFM","14:25","16:45","18:10","Ranger","IP","Hex","C","WEST","1645-1810","1B: NIGHT","2 TKS NAV"
"Thursday","Jul 16","WAVE 2","RU","BFM","14:25","16:45","18:10","Zenith","C","Ledger","IW","SOUTH","1645-1810","2A: BFM-8X / OC CHK","2 TKS NAV"
"Saturday","Jul 18","WAVE 1","VIPER","","07:40","10:00","11:00","Ranger","IP","Echo","IW","","","",""
"Saturday","Jul 18","WAVE 1","COBRA","","11:40","14:00","15:30","Ridge","C","Grit","C","","","",""
"Saturday","Jul 18","SC","SC","AM","03:40","06:00","14:00","Piston","IP","Basher","IW","","","",""
"Saturday","Jul 18","SC","SC","AM","03:40","06:00","14:00","","","","","","","",""
"Saturday","Jul 18","SC","SC","AM","03:40","06:00","14:00","Cobra","IP","Ledger","IW","","","",""
"Saturday","Jul 18","SC","SC","AM","03:40","06:00","14:00","","","","","","","",""
"Saturday","Jul 18","SC","SC","PM","10:40","13:00","19:00","","","","","","","",""
"Saturday","Jul 18","SC","SC","PM","10:40","13:00","19:00","","","","","","","",""
"Saturday","Jul 18","SC","SC","PM","10:40","13:00","19:00","","","","","","","",""
"Saturday","Jul 18","SC","SC","PM","10:40","13:00","19:00","","","","","","","",""
"Saturday","Jul 18","AVALON","AV","NIGHT","06:40","09:00","12:00","Hunter","IP","Quill","IW","","","",""
"Saturday","Jul 18","AVALON","AV","NIGHT","06:40","09:00","12:00","","","","","","","",""
"Saturday","Jul 18","AVALON","AV","NIGHT","06:40","09:00","12:00","","","","","","","",""
"Saturday","Jul 18","AVALON","AV","NIGHT","06:40","09:00","12:00","","","","","","","",""
